name_name,name_url,name_rank,name_rank_url,name_grade,name_grade_url
High Point University,https://www.niche.com/colleges/high-point-university/,1,https://www.niche.com/colleges/high-point-university/,A+,https://www.niche.com/colleges/high-point-university/
Johnson University,https://www.niche.com/colleges/johnson-university/,2,https://www.niche.com/colleges/johnson-university/,A+,https://www.niche.com/colleges/johnson-university/
Bowdoin College,https://www.niche.com/colleges/bowdoin-college/,3,https://www.niche.com/colleges/bowdoin-college/,A+,https://www.niche.com/colleges/bowdoin-college/
Washington University in St. Louis,https://www.niche.com/colleges/washington-university-in-st-louis/,4,https://www.niche.com/colleges/washington-university-in-st-louis/,A+,https://www.niche.com/colleges/washington-university-in-st-louis/
Union University,https://www.niche.com/colleges/union-university/,5,https://www.niche.com/colleges/union-university/,A+,https://www.niche.com/colleges/union-university/
Grand Canyon University,https://www.niche.com/colleges/grand-canyon-university/,6,https://www.niche.com/colleges/grand-canyon-university/,A+,https://www.niche.com/colleges/grand-canyon-university/
Rice University,https://www.niche.com/colleges/rice-university/,7,https://www.niche.com/colleges/rice-university/,A+,https://www.niche.com/colleges/rice-university/
Regent University,https://www.niche.com/colleges/regent-university/,8,https://www.niche.com/colleges/regent-university/,A+,https://www.niche.com/colleges/regent-university/
Liberty University,https://www.niche.com/colleges/liberty-university/,9,https://www.niche.com/colleges/liberty-university/,A+,https://www.niche.com/colleges/liberty-university/
Florida Gulf Coast University,https://www.niche.com/colleges/florida-gulf-coast-university/,10,https://www.niche.com/colleges/florida-gulf-coast-university/,A+,https://www.niche.com/colleges/florida-gulf-coast-university/
Southwestern Assemblies of God University,https://www.niche.com/colleges/southwestern-assemblies-of-god-university/,11,https://www.niche.com/colleges/southwestern-assemblies-of-god-university/,A+,https://www.niche.com/colleges/southwestern-assemblies-of-god-university/
California Baptist University,https://www.niche.com/colleges/california-baptist-university/,12,https://www.niche.com/colleges/california-baptist-university/,A+,https://www.niche.com/colleges/california-baptist-university/
Corban University,https://www.niche.com/colleges/corban-university/,13,https://www.niche.com/colleges/corban-university/,A+,https://www.niche.com/colleges/corban-university/
Yale University,https://www.niche.com/colleges/yale-university/,14,https://www.niche.com/colleges/yale-university/,A+,https://www.niche.com/colleges/yale-university/
Hillsdale College,https://www.niche.com/colleges/hillsdale-college/,15,https://www.niche.com/colleges/hillsdale-college/,A+,https://www.niche.com/colleges/hillsdale-college/
Indiana Wesleyan University,https://www.niche.com/colleges/indiana-wesleyan-university/,16,https://www.niche.com/colleges/indiana-wesleyan-university/,A+,https://www.niche.com/colleges/indiana-wesleyan-university/
Pomona College,https://www.niche.com/colleges/pomona-college/,17,https://www.niche.com/colleges/pomona-college/,A+,https://www.niche.com/colleges/pomona-college/
Saginaw Valley State University,https://www.niche.com/colleges/saginaw-valley-state-university/,18,https://www.niche.com/colleges/saginaw-valley-state-university/,A+,https://www.niche.com/colleges/saginaw-valley-state-university/
Wheaton College - Illinois,https://www.niche.com/colleges/wheaton-college---illinois/,19,https://www.niche.com/colleges/wheaton-college---illinois/,A+,https://www.niche.com/colleges/wheaton-college---illinois/
University of Northwestern - St. Paul,https://www.niche.com/colleges/university-of-northwestern---st-paul/,20,https://www.niche.com/colleges/university-of-northwestern---st-paul/,A+,https://www.niche.com/colleges/university-of-northwestern---st-paul/
Houghton College,https://www.niche.com/colleges/houghton-college/,21,https://www.niche.com/colleges/houghton-college/,A+,https://www.niche.com/colleges/houghton-college/
Maranatha Baptist University,https://www.niche.com/colleges/maranatha-baptist-university/,22,https://www.niche.com/colleges/maranatha-baptist-university/,A+,https://www.niche.com/colleges/maranatha-baptist-university/
William Jessup University,https://www.niche.com/colleges/william-jessup-university/,23,https://www.niche.com/colleges/william-jessup-university/,A+,https://www.niche.com/colleges/william-jessup-university/
Santa Clara University,https://www.niche.com/colleges/santa-clara-university/,24,https://www.niche.com/colleges/santa-clara-university/,A+,https://www.niche.com/colleges/santa-clara-university/
Taylor University,https://www.niche.com/colleges/taylor-university/,25,https://www.niche.com/colleges/taylor-university/,A+,https://www.niche.com/colleges/taylor-university/
Friends University,https://www.niche.com/colleges/friends-university/,26,https://www.niche.com/colleges/friends-university/,A+,https://www.niche.com/colleges/friends-university/
Alverno College,https://www.niche.com/colleges/alverno-college/,27,https://www.niche.com/colleges/alverno-college/,A+,https://www.niche.com/colleges/alverno-college/
Mid-America Christian University,https://www.niche.com/colleges/mid-america-christian-university/,28,https://www.niche.com/colleges/mid-america-christian-university/,A+,https://www.niche.com/colleges/mid-america-christian-university/
Asbury University,https://www.niche.com/colleges/asbury-university/,29,https://www.niche.com/colleges/asbury-university/,A+,https://www.niche.com/colleges/asbury-university/
Indiana University - Southeast,https://www.niche.com/colleges/indiana-university---southeast/,30,https://www.niche.com/colleges/indiana-university---southeast/,A+,https://www.niche.com/colleges/indiana-university---southeast/
Dallas Baptist University,https://www.niche.com/colleges/dallas-baptist-university/,31,https://www.niche.com/colleges/dallas-baptist-university/,A,https://www.niche.com/colleges/dallas-baptist-university/
Ouachita Baptist University,https://www.niche.com/colleges/ouachita-baptist-university/,32,https://www.niche.com/colleges/ouachita-baptist-university/,A,https://www.niche.com/colleges/ouachita-baptist-university/
Evangel University,https://www.niche.com/colleges/evangel-university/,33,https://www.niche.com/colleges/evangel-university/,A,https://www.niche.com/colleges/evangel-university/
Bethel College - Indiana,https://www.niche.com/colleges/bethel-college---indiana/,34,https://www.niche.com/colleges/bethel-college---indiana/,A,https://www.niche.com/colleges/bethel-college---indiana/
Colorado Christian University,https://www.niche.com/colleges/colorado-christian-university/,35,https://www.niche.com/colleges/colorado-christian-university/,A,https://www.niche.com/colleges/colorado-christian-university/
Loyola University Maryland,https://www.niche.com/colleges/loyola-university-maryland/,36,https://www.niche.com/colleges/loyola-university-maryland/,A,https://www.niche.com/colleges/loyola-university-maryland/
John Brown University,https://www.niche.com/colleges/john-brown-university/,37,https://www.niche.com/colleges/john-brown-university/,A,https://www.niche.com/colleges/john-brown-university/
Baker College of Owosso,https://www.niche.com/colleges/baker-college-of-owosso/,38,https://www.niche.com/colleges/baker-college-of-owosso/,A,https://www.niche.com/colleges/baker-college-of-owosso/
Olivet Nazarene University,https://www.niche.com/colleges/olivet-nazarene-university/,39,https://www.niche.com/colleges/olivet-nazarene-university/,A,https://www.niche.com/colleges/olivet-nazarene-university/
Wisconsin Lutheran College,https://www.niche.com/colleges/wisconsin-lutheran-college/,40,https://www.niche.com/colleges/wisconsin-lutheran-college/,A,https://www.niche.com/colleges/wisconsin-lutheran-college/
Bob Jones University,https://www.niche.com/colleges/bob-jones-university/,41,https://www.niche.com/colleges/bob-jones-university/,A,https://www.niche.com/colleges/bob-jones-university/
Huntington University,https://www.niche.com/colleges/huntington-university/,42,https://www.niche.com/colleges/huntington-university/,A,https://www.niche.com/colleges/huntington-university/
Whitworth University,https://www.niche.com/colleges/whitworth-university/,43,https://www.niche.com/colleges/whitworth-university/,A,https://www.niche.com/colleges/whitworth-university/
Stanford University,https://www.niche.com/colleges/stanford-university/,44,https://www.niche.com/colleges/stanford-university/,A,https://www.niche.com/colleges/stanford-university/
Minneapolis College of Art & Design,https://www.niche.com/colleges/minneapolis-college-of-art--and--design/,45,https://www.niche.com/colleges/minneapolis-college-of-art--and--design/,A,https://www.niche.com/colleges/minneapolis-college-of-art--and--design/
LeTourneau University,https://www.niche.com/colleges/letourneau-university/,46,https://www.niche.com/colleges/letourneau-university/,A,https://www.niche.com/colleges/letourneau-university/
The Southern Baptist Theological Seminary,https://www.niche.com/colleges/the-southern-baptist-theological-seminary/,47,https://www.niche.com/colleges/the-southern-baptist-theological-seminary/,A,https://www.niche.com/colleges/the-southern-baptist-theological-seminary/
SUNY College of Environmental Science & Forestry,https://www.niche.com/colleges/suny-college-of-environmental-science--and--forestry/,48,https://www.niche.com/colleges/suny-college-of-environmental-science--and--forestry/,A,https://www.niche.com/colleges/suny-college-of-environmental-science--and--forestry/
Union College - Nebraska,https://www.niche.com/colleges/union-college---nebraska/,49,https://www.niche.com/colleges/union-college---nebraska/,A,https://www.niche.com/colleges/union-college---nebraska/
Oral Roberts University,https://www.niche.com/colleges/oral-roberts-university/,50,https://www.niche.com/colleges/oral-roberts-university/,A,https://www.niche.com/colleges/oral-roberts-university/
Lourdes University,https://www.niche.com/colleges/lourdes-university/,51,https://www.niche.com/colleges/lourdes-university/,A,https://www.niche.com/colleges/lourdes-university/
University of Scranton,https://www.niche.com/colleges/university-of-scranton/,52,https://www.niche.com/colleges/university-of-scranton/,A,https://www.niche.com/colleges/university-of-scranton/
Georgia Southern University,https://www.niche.com/colleges/georgia-southern-university/,53,https://www.niche.com/colleges/georgia-southern-university/,A,https://www.niche.com/colleges/georgia-southern-university/
Stevenson University,https://www.niche.com/colleges/stevenson-university/,54,https://www.niche.com/colleges/stevenson-university/,A,https://www.niche.com/colleges/stevenson-university/
Northwestern College - Iowa,https://www.niche.com/colleges/northwestern-college---iowa/,55,https://www.niche.com/colleges/northwestern-college---iowa/,A,https://www.niche.com/colleges/northwestern-college---iowa/
East Texas Baptist University,https://www.niche.com/colleges/east-texas-baptist-university/,56,https://www.niche.com/colleges/east-texas-baptist-university/,A,https://www.niche.com/colleges/east-texas-baptist-university/
Southeastern University,https://www.niche.com/colleges/southeastern-university/,57,https://www.niche.com/colleges/southeastern-university/,A,https://www.niche.com/colleges/southeastern-university/
Thomas Jefferson University,https://www.niche.com/colleges/thomas-jefferson-university/,58,https://www.niche.com/colleges/thomas-jefferson-university/,A,https://www.niche.com/colleges/thomas-jefferson-university/
Ozark Christian College,https://www.niche.com/colleges/ozark-christian-college/,59,https://www.niche.com/colleges/ozark-christian-college/,A,https://www.niche.com/colleges/ozark-christian-college/
Davidson College,https://www.niche.com/colleges/davidson-college/,60,https://www.niche.com/colleges/davidson-college/,A,https://www.niche.com/colleges/davidson-college/
